,한자,등급(대한검정회),등급(한국어문회),등급(기초교육용)
0,嫁,1.0,1.0,심화
1,恪,1.0,1.0,심화
2,侃,1.0,0.0,심화
3,玕,1.0,0.0,심화
4,揀,1.0,1.0,심화
5,澗,1.0,1.0,심화
6,喝,1.0,1.0,심화
7,柑,1.0,1.0,심화
8,勘,1.0,1.0,심화
9,匣,1.0,1.0,심화
10,堈,1.0,0.0,심화
11,杠,1.0,0.0,심화
12,橿,1.0,0.0,심화
13,愷,1.0,0.0,심화
14,漑,1.0,1.0,심화
15,渠,1.0,1.0,심화
16,愆,1.0,0.0,심화
17,楗,1.0,0.0,심화
18,杰,1.0,2.0,심화
19,怯,1.0,1.0,심화
20,檄,1.0,1.0,심화
21,抉,1.0,0.0,심화
22,倞,1.0,0.0,심화
23,坰,1.0,0.0,심화
24,梗,1.0,1.0,심화
25,憬,1.0,1.0,심화
26,暻,1.0,0.0,심화
27,擎,1.0,0.0,심화
28,檠,1.0,0.0,심화
29,俓,1.0,0.0,심화
30,涇,1.0,0.0,심화
31,勁,1.0,1.0,심화
32,熲,1.0,0.0,심화
33,冏,1.0,0.0,심화
34,烓,1.0,0.0,심화
35,叩,1.0,1.0,심화
36,敲,1.0,1.0,심화
37,拷,1.0,1.0,심화
38,崑,1.0,0.0,심화
39,棍,1.0,1.0,심화
40,琨,1.0,0.0,심화
41,拱,1.0,1.0,심화
42,珙,1.0,0.0,심화
43,控,1.0,0.0,심화
44,廓,1.0,1.0,심화
45,棺,1.0,1.0,심화
46,灌,1.0,1.0,심화
47,琯,1.0,2.0,심화
48,瓘,1.0,0.0,심화
49,括,1.0,1.0,심화
50,侊,1.0,0.0,심화
51,洸,1.0,0.0,심화
52,珖,1.0,0.0,심화
53,桄,1.0,0.0,심화
54,匡,1.0,1.0,심화
55,曠,1.0,1.0,심화
56,炚,1.0,0.0,심화
57,拐,1.0,1.0,심화
58,槐,1.0,2.0,심화
59,宏,1.0,1.0,심화
60,喬,1.0,1.0,심화
61,攪,1.0,1.0,심화
62,嬌,1.0,1.0,심화
63,咎,1.0,0.0,심화
64,垢,1.0,1.0,심화
65,寇,1.0,1.0,심화
66,枸,1.0,1.0,심화
67,柩,1.0,1.0,심화
68,溝,1.0,1.0,심화
