,출제연도,출제월,과목,지문번호,문제번호,한자
0,2023,11,국어,1,1,答
1,2023,11,국어,1,1,持
2,2023,11,국어,1,1,續
3,2023,11,국어,1,1,的
4,2023,11,국어,1,1,冊
5,2023,11,국어,1,1,理
6,2023,11,국어,1,1,由
7,2023,11,국어,1,1,中
8,2023,11,국어,1,1,讀
9,2023,11,국어,1,1,書
10,2023,11,국어,1,1,中
11,2023,11,국어,1,1,心
12,2023,11,국어,1,1,疏
13,2023,11,국어,1,1,通
14,2023,11,국어,1,1,讀
15,2023,11,국어,1,1,者
16,2023,11,국어,1,1,讀
17,2023,11,국어,1,1,書
18,2023,11,국어,1,1,冊
19,2023,11,국어,1,1,疏
20,2023,11,국어,1,1,通
21,2023,11,국어,1,1,經
22,2023,11,국어,1,1,驗
23,2023,11,국어,1,1,讀
24,2023,11,국어,1,1,書
25,2023,11,국어,1,1,筆
26,2023,11,국어,1,1,者
27,2023,11,국어,1,1,間
28,2023,11,국어,1,1,接
29,2023,11,국어,1,1,的
30,2023,11,국어,1,1,對
31,2023,11,국어,1,1,話
32,2023,11,국어,1,1,疏
33,2023,11,국어,1,1,通
34,2023,11,국어,1,1,行
35,2023,11,국어,1,1,爲
36,2023,11,국어,1,1,讀
37,2023,11,국어,1,1,者
38,2023,11,국어,1,1,屬
39,2023,11,국어,1,1,社
40,2023,11,국어,1,1,會
41,2023,11,국어,1,1,時
42,2023,11,국어,1,1,代
43,2023,11,국어,1,1,影
44,2023,11,국어,1,1,響
45,2023,11,국어,1,1,筆
46,2023,11,국어,1,1,者
47,2023,11,국어,1,1,屬
48,2023,11,국어,1,1,社
49,2023,11,국어,1,1,會
50,2023,11,국어,1,1,時
51,2023,11,국어,1,1,代
52,2023,11,국어,1,1,經
53,2023,11,국어,1,1,驗
54,2023,11,국어,1,1,直
55,2023,11,국어,1,1,接
56,2023,11,국어,1,1,經
57,2023,11,국어,1,1,驗
58,2023,11,국어,1,1,多
59,2023,11,국어,1,1,樣
60,2023,11,국어,1,1,筆
61,2023,11,국어,1,1,者
62,2023,11,국어,1,1,媒
63,2023,11,국어,1,1,介
64,2023,11,국어,1,1,理
65,2023,11,국어,1,1,解
66,2023,11,국어,1,1,讀
67,2023,11,국어,1,1,者
68,2023,11,국어,1,1,視
69,2023,11,국어,1,1,野
70,2023,11,국어,1,1,世
71,2023,11,국어,1,1,界
72,2023,11,국어,1,1,冊
73,2023,11,국어,1,1,讀
74,2023,11,국어,1,1,者
75,2023,11,국어,1,1,讀
76,2023,11,국어,1,1,者
77,2023,11,국어,1,1,背
78,2023,11,국어,1,1,景
79,2023,11,국어,1,1,知
80,2023,11,국어,1,1,識
81,2023,11,국어,1,1,觀
82,2023,11,국어,1,1,點
83,2023,11,국어,1,1,等
84,2023,11,국어,1,1,讀
85,2023,11,국어,1,1,者
86,2023,11,국어,1,1,要
87,2023,11,국어,1,1,因
88,2023,11,국어,1,1,環
89,2023,11,국어,1,1,境
90,2023,11,국어,1,1,果
91,2023,11,국어,1,1,題
92,2023,11,국어,1,1,等
93,2023,11,국어,1,1,狀
94,2023,11,국어,1,1,況
95,2023,11,국어,1,1,要
96,2023,11,국어,1,1,因
97,2023,11,국어,1,1,筆
98,2023,11,국어,1,1,者
99,2023,11,국어,1,1,世
100,2023,11,국어,1,1,界
101,2023,11,국어,1,1,受
102,2023,11,국어,1,1,容
103,2023,11,국어,1,1,疏
104,2023,11,국어,1,1,通
105,2023,11,국어,1,1,過
106,2023,11,국어,1,1,程
107,2023,11,국어,1,1,意
108,2023,11,국어,1,1,味
109,2023,11,국어,1,1,構
110,2023,11,국어,1,1,成
111,2023,11,국어,1,1,疏
112,2023,11,국어,1,1,通
113,2023,11,국어,1,1,讀
114,2023,11,국어,1,1,者
115,2023,11,국어,1,1,冊
116,2023,11,국어,1,1,內
117,2023,11,국어,1,1,容
118,2023,11,국어,1,1,對
119,2023,11,국어,1,1,質
120,2023,11,국어,1,1,問
121,2023,11,국어,1,1,答
122,2023,11,국어,1,1,過
123,2023,11,국어,1,1,程
124,2023,11,국어,1,1,可
125,2023,11,국어,1,1,能
126,2023,11,국어,1,1,讀
127,2023,11,국어,1,1,者
128,2023,11,국어,1,1,冊
129,2023,11,국어,1,1,答
130,2023,11,국어,1,1,質
131,2023,11,국어,1,1,問
132,2023,11,국어,1,1,讀
133,2023,11,국어,1,1,者
134,2023,11,국어,1,1,答
135,2023,11,국어,1,1,質
136,2023,11,국어,1,1,問
137,2023,11,국어,1,1,等
138,2023,11,국어,1,1,提
139,2023,11,국어,1,1,起
140,2023,11,국어,1,1,電
141,2023,11,국어,1,1,子
142,2023,11,국어,1,1,境
143,2023,11,국어,1,1,遇
144,2023,11,국어,1,1,冊
145,2023,11,국어,1,1,明
146,2023,11,국어,1,1,示
147,2023,11,국어,1,1,內
148,2023,11,국어,1,1,容
149,2023,11,국어,1,1,答
150,2023,11,국어,1,1,發
151,2023,11,국어,1,1,見
152,2023,11,국어,1,1,冊
153,2023,11,국어,1,1,內
154,2023,11,국어,1,1,容
155,2023,11,국어,1,1,關
156,2023,11,국어,1,1,係
157,2023,11,국어,1,1,答
158,2023,11,국어,1,1,該
159,2023,11,국어,1,1,當
160,2023,11,국어,1,1,內
161,2023,11,국어,1,1,容
162,2023,11,국어,1,1,構
163,2023,11,국어,1,1,成
164,2023,11,국어,1,1,後
165,2023,11,국어,1,1,者
166,2023,11,국어,1,1,境
167,2023,11,국어,1,1,遇
168,2023,11,국어,1,1,冊
169,2023,11,국어,1,1,讀
170,2023,11,국어,1,1,者
171,2023,11,국어,1,1,經
172,2023,11,국어,1,1,驗
173,2023,11,국어,1,1,答
174,2023,11,국어,1,1,質
175,2023,11,국어,1,1,問
176,2023,11,국어,1,1,豊
177,2023,11,국어,1,1,富
178,2023,11,국어,1,1,生
179,2023,11,국어,1,1,成
180,2023,11,국어,1,1,主
181,2023,11,국어,1,1,體
182,2023,11,국어,1,1,的
183,2023,11,국어,1,1,答
184,2023,11,국어,1,1,疏
185,2023,11,국어,1,1,通
186,2023,11,국어,1,1,便
187,2023,11,국어,1,1,讀
188,2023,11,국어,1,1,者
189,2023,11,국어,1,1,讀
190,2023,11,국어,1,1,者
191,2023,11,국어,1,1,疏
192,2023,11,국어,1,1,通
193,2023,11,국어,1,1,經
194,2023,11,국어,1,1,驗
195,2023,11,국어,1,1,冊
196,2023,11,국어,1,1,疏
197,2023,11,국어,1,1,通
198,2023,11,국어,1,1,個
199,2023,11,국어,1,1,人
200,2023,11,국어,1,1,的
201,2023,11,국어,1,1,形
202,2023,11,국어,1,1,成
203,2023,11,국어,1,1,意
204,2023,11,국어,1,1,味
205,2023,11,국어,1,1,讀
206,2023,11,국어,1,1,書
207,2023,11,국어,1,1,讀
208,2023,11,국어,1,1,書
209,2023,11,국어,1,1,同
210,2023,11,국어,1,1,等
211,2023,11,국어,1,1,讀
212,2023,11,국어,1,1,者
213,2023,11,국어,1,1,該
214,2023,11,국어,1,1,當
215,2023,11,국어,1,1,解
216,2023,11,국어,1,1,釋
217,2023,11,국어,1,1,共
218,2023,11,국어,1,1,感
219,2023,11,국어,1,1,旣
220,2023,11,국어,1,1,存
221,2023,11,국어,1,1,認
222,2023,11,국어,1,1,識
223,2023,11,국어,1,1,强
224,2023,11,국어,1,1,化
225,2023,11,국어,1,1,觀
226,2023,11,국어,1,1,點
227,2023,11,국어,1,1,差
228,2023,11,국어,1,1,異
229,2023,11,국어,1,1,確
230,2023,11,국어,1,1,認
231,2023,11,국어,1,1,旣
232,2023,11,국어,1,1,存
233,2023,11,국어,1,1,認
234,2023,11,국어,1,1,識
235,2023,11,국어,1,1,調
236,2023,11,국어,1,1,整
237,2023,11,국어,1,1,過
238,2023,11,국어,1,1,程
239,2023,11,국어,1,1,讀
240,2023,11,국어,1,1,者
241,2023,11,국어,1,1,認
242,2023,11,국어,1,1,識
243,2023,11,국어,1,1,深
244,2023,11,국어,1,1,化
245,2023,11,국어,1,1,擴
246,2023,11,국어,1,1,張
247,2023,11,국어,1,1,最
248,2023,11,국어,1,1,近
249,2023,11,국어,1,1,疏
250,2023,11,국어,1,1,通
251,2023,11,국어,1,1,空
252,2023,11,국어,1,1,間
253,2023,11,국어,1,1,擴
254,2023,11,국어,1,1,大
255,2023,11,국어,1,1,讀
256,2023,11,국어,1,1,書
257,2023,11,국어,1,1,讀
258,2023,11,국어,1,1,者
259,2023,11,국어,1,1,疏
260,2023,11,국어,1,1,通
261,2023,11,국어,1,1,樣
262,2023,11,국어,1,1,相
263,2023,11,국어,1,1,多
264,2023,11,국어,1,1,樣
265,2023,11,국어,1,1,讀
266,2023,11,국어,1,1,書
267,2023,11,국어,1,1,經
268,2023,11,국어,1,1,驗
269,2023,11,국어,1,1,動
270,2023,11,국어,1,1,映
271,2023,11,국어,1,1,像
272,2023,11,국어,1,1,生
273,2023,11,국어,1,1,産
274,2023,11,국어,1,1,共
275,2023,11,국어,1,1,有
276,2023,11,국어,1,1,冊
277,2023,11,국어,1,1,他
278,2023,11,국어,1,1,人
279,2023,11,국어,1,1,冊
280,2023,11,국어,1,1,疏
281,2023,11,국어,1,1,通
282,2023,11,국어,1,1,冊
283,2023,11,국어,1,1,通
284,2023,11,국어,1,1,疏
285,2023,11,국어,1,1,通
286,2023,11,국어,2,1,內
287,2023,11,국어,2,1,容
288,2023,11,국어,2,1,一
289,2023,11,국어,2,1,致
290,2023,11,국어,2,1,冊
291,2023,11,국어,2,1,讀
292,2023,11,국어,2,1,者
293,2023,11,국어,2,1,意
294,2023,11,국어,2,1,味
295,2023,11,국어,2,1,構
296,2023,11,국어,2,1,成
297,2023,11,국어,2,1,讀
298,2023,11,국어,2,1,者
299,2023,11,국어,2,1,疏
300,2023,11,국어,2,1,通
301,2023,11,국어,2,1,讀
302,2023,11,국어,2,1,者
303,2023,11,국어,2,1,認
304,2023,11,국어,2,1,識
305,2023,11,국어,2,1,擴
306,2023,11,국어,2,1,張
307,2023,11,국어,2,1,讀
308,2023,11,국어,2,1,者
309,2023,11,국어,2,1,直
